senior	adj.	cấp cao	Senior staff may park in the covered lot.	Nhân viên cấp cao được đỗ ở bãi có mái.	employee
opening	n.	vị trí tuyển	There is an opening for a night receptionist.	Có vị trí tuyển lễ tân ca đêm.	applicant
posting	n.	tin tuyển dụng	The job posting closes on Friday.	Tin tuyển dụng đóng vào thứ Sáu.	applicant
screening	n.	sơ loại hồ sơ	Phone screening takes about 15 minutes.	Sơ loại qua điện thoại mất khoảng 15 phút.	applicant
relocate	v.	chuyển chỗ làm	She agreed to relocate to the Osaka branch.	Cô ấy đồng ý chuyển tới chi nhánh Osaka.	headquarters
relocation	n.	việc chuyển chỗ	Relocation costs are paid by the company.	Chi phí chuyển chỗ do công ty trả.	budget
severance	n.	trợ cấp thôi việc	Severance pay is based on years of service.	Trợ cấp thôi việc dựa trên số năm làm việc.	budget
workplace	n.	nơi làm việc	Keep the workplace clear of boxes.	Giữ nơi làm việc không bị thùng chiếm lối.	headquarters
workload	n.	khối lượng công việc	The new software reduced our workload.	Phần mềm mới giảm khối lượng công việc.	employee
forecast	n.	dự báo	The sales forecast for June looks strong.	Dự báo doanh số tháng Sáu trông khả quan.	budget
profitability	n.	khả năng sinh lời	The new line improved profitability.	Dòng sản phẩm mới cải thiện khả năng sinh lời.	budget
turnover	n.	doanh số / biến động nhân sự	Staff turnover fell after the raise.	Biến động nhân sự giảm sau đợt tăng lương.	employee
overhead	n.	chi phí gián tiếp	Moving downtown increased our overhead.	Chuyển vào trung tâm làm tăng chi phí gián tiếp.	budget
cash	n.	tiền mặt	The register holds cash overnight in a safe.	Quầy giữ tiền mặt qua đêm trong két.	budget
check	n.	séc	Please make the check payable to the hotel.	Vui lòng ghi séc trả cho khách sạn.	invoice
credit	n.	tín dụng	Your store credit expires in six months.	Tín dụng cửa hàng hết hạn sau sáu tháng.	invoice
debit	n.	ghi nợ	A debit appeared on the account this morning.	Một khoản ghi nợ xuất hiện trên tài khoản sáng nay.	invoice
payment	n.	khoản thanh toán	The final payment is due on the first.	Khoản thanh toán cuối hạn vào mùng 1.	invoice
billing	n.	việc lập hóa đơn	Billing errors should be reported at once.	Lỗi lập hóa đơn phải được báo ngay.	invoice
accountant	n.	kế toán	skip	skip	invoice
bookkeeping	n.	sổ sách kế toán	Bookkeeping is done every Friday afternoon.	Sổ sách được ghi mỗi chiều thứ Sáu.	invoice
reconcile	v.	đối chiếu sổ	Please reconcile the receipts with the ledger.	Vui lòng đối chiếu biên lai với sổ cái.	invoice
outstanding	adj.	chưa thanh toán / xuất sắc	Two invoices are still outstanding.	Hai hóa đơn vẫn chưa thanh toán.	invoice
installment	n.	khoản trả góp	You may pay in three monthly installments.	Bạn có thể trả góp ba tháng.	invoice
down	n.	tiền đặt cọc ban đầu	A down payment of 20 percent is required.	Cần đặt cọc ban đầu 20 phần trăm.	budget
collateral	n.	tài sản thế chấp	The van was used as collateral for the loan.	Xe tải được dùng làm tài sản thế chấp khoản vay.	budget
interest	n.	lãi	skip	skip	budget
principal	n.	tiền gốc	Pay the principal before extra interest grows.	Trả tiền gốc trước khi lãi tăng thêm.	budget
lender	n.	bên cho vay	The lender approved the small-business loan.	Bên cho vay đã duyệt khoản vay doanh nghiệp nhỏ.	budget
borrower	n.	bên vay	The borrower must show last year's tax form.	Bên vay phải出示 tờ khai thuế năm ngoái.	budget
creditworthy	adj.	đủ tín nhiệm	Only creditworthy buyers get this rate.	Chỉ người mua đủ tín nhiệm được lãi này.	budget
default	v.	vỡ nợ	If you default, the equipment may be repossessed.	Nếu vỡ nợ, thiết bị có thể bị thu hồi.	budget
repossess	v.	thu hồi tài sản	The bank may repossess the truck after 90 days.	Ngân hàng có thể thu hồi xe sau 90 ngày.	budget
appraisal	n.	thẩm định giá	skip	skip	applicant
valuation	n.	định giá	An independent valuation of the building is ready.	Bản định giá độc lập của tòa nhà đã xong.	budget
auction	n.	đấu giá	Office furniture will be sold at auction.	Nội thất văn phòng sẽ bán đấu giá.	inventory
bid	n.	giá dự thầu	The lowest bid won the cleaning contract.	Giá dự thầu thấp nhất thắng hợp đồng dọn dẹp.	invoice
tender	n.	hồ sơ thầu	Submit the tender before noon on Monday.	Nộp hồ sơ thầu trước trưa thứ Hai.	invoice
procurement	n.	mua sắm	Procurement must approve purchases over 500 dollars.	Mua sắm phải duyệt đơn trên 500 đô la.	invoice
purchaser	n.	người mua	The purchaser asked for a longer warranty.	Người mua yêu cầu bảo hành dài hơn.	invoice
vendor	n.	nhà bán	skip	skip	headquarters
wholesale	adj.	sỉ	skip	skip	budget
markup	n.	biên lợi nhuận cộng thêm	A 15 percent markup covers shipping.	Biên 15 phần trăm gồm cước vận chuyển.	budget
margin	n.	biên lợi nhuận	The store runs on a thin profit margin.	Cửa hàng chạy với biên lợi nhuận mỏng.	budget
inventory	n.	tồn kho	skip	skip	inventory
stockroom	n.	kho nhỏ	Extra paper is in the stockroom.	Giấy thêm ở kho nhỏ.	inventory
backorder	n.	đơn chờ hàng	The lamp is on backorder until May.	Đèn đang chờ hàng đến tháng Năm.	shipment
restock	v.	nhập hàng lại	Please restock the shelves before opening.	Vui lòng nhập lại kệ trước giờ mở cửa.	inventory
replenish	v.	bổ sung	We will replenish the first-aid kits today.	Chúng tôi sẽ bổ sung hộp sơ cứu hôm nay.	inventory
outage	n.	sự cố mất (điện/mạng)	A power outage stopped the packing line.	Mất điện làm dừng dây chuyền đóng gói.	inventory
blackout	n.	mất điện diện rộng	The blackout lasted forty minutes.	Đợt mất điện kéo dài bốn mươi phút.	headquarters
generator	n.	máy phát điện	The backup generator starts automatically.	Máy phát dự phòng tự khởi động.	inventory
utility	n.	dịch vụ hạ tầng	Utility bills are paid on the tenth.	Hóa đơn điện nước trả vào ngày mùng 10.	invoice
electricity	n.	điện	Electricity in the warehouse is metered separately.	Điện trong kho được đo riêng.	headquarters
plumbing	n.	hệ thống ống nước	Plumbing repairs will close the restroom.	Sửa ống nước sẽ đóng nhà vệ sinh.	headquarters
janitor	n.	nhân viên tạp vụ	The janitor unlocks the building at 6 a.m.	Nhân viên tạp vụ mở cửa lúc 6 giờ sáng.	headquarters
custodian	n.	người trông coi	A custodian checks the lights after closing.	Người trông coi kiểm tra đèn sau giờ đóng.	headquarters
caretaker	n.	người chăm sóc tòa nhà	The caretaker lives on the ground floor.	Người chăm sóc tòa nhà ở tầng trệt.	headquarters
superintendent	n.	quản đốc tòa nhà	Call the superintendent if the heat fails.	Gọi quản đốc nếu máy sưởi hỏng.	headquarters
landlord	n.	chủ nhà	skip	skip	headquarters
tenant	n.	người thuê	skip	skip	budget
lease	n.	hợp đồng thuê	skip	skip	authorize
sublet	v.	cho thuê lại	You may not sublet the office without consent.	Không được cho thuê lại văn phòng khi chưa đồng ý.	authorize
evict	v.	đuổi khỏi mặt bằng	The owner may evict a tenant who skips rent.	Chủ có thể đuổi người thuê bỏ tiền nhà.	authorize
renovation	n.	cải tạo	Renovation of the café starts in August.	Cải tạo quán cà phê bắt đầu tháng Tám.	occupancy
remodel	v.	sửa sang	They will remodel the lobby next winter.	Họ sẽ sửa sang sảnh vào mùa đông tới.	occupancy
refurbish	v.	tân trang	We will refurbish ten rooms this month.	Chúng tôi sẽ tân trang mười phòng tháng này.	occupancy
furnish	v.	trang bị nội thất	The suite is furnished with a meeting table.	Phòng suite được trang bị bàn họp.	reservation
fixture	n.	đồ gắn cố định	Do not remove light fixtures from the wall.	Không tháo đèn gắn tường.	inventory
appliance	n.	thiết bị gia dụng	Each kitchen has a new appliance set.	Mỗi bếp có bộ thiết bị mới.	inventory
housekeeping	n.	buồng phòng	skip	skip	reservation
turndown	n.	dịch vụ dọn phòng tối	Turndown service begins at 8 p.m.	Dịch vụ dọn phòng tối bắt đầu lúc 8 giờ tối.	reservation
minibar	n.	tủ minibar	Please note minibar charges on your bill.	Vui lòng xem phí minibar trên hóa đơn.	complimentary
bathrobe	n.	áo choàng tắm	A bathrobe hangs in the closet.	Áo choàng tắm treo trong tủ.	reservation
toiletry	n.	đồ vệ sinh cá nhân	Extra toiletries are at the front desk.	Đồ vệ sinh thêm có ở quầy lễ tân.	complimentary
linen	n.	khăn trải / khăn vải	Fresh linen is delivered twice a week.	Khăn vải sạch được giao hai lần mỗi tuần.	reservation
laundry	n.	giặt là	Laundry bags are in the wardrobe.	Túi giặt là ở trong tủ áo.	reservation
dry	n.	giặt khô	Dry cleaning returns in 24 hours.	Giặt khô trả trong 24 giờ.	reservation
ironing	n.	là ủi	An ironing board is behind the door.	Cầu là ở sau cánh cửa.	reservation
wake	n.	dịch vụ đánh thức	Request a wake-up call at the desk.	Yêu cầu đánh thức tại quầy.	reservation
doorman	n.	người gác cửa	The doorman will hail a taxi for you.	Người gác cửa sẽ gọi taxi giúp bạn.	reservation
bellhop	n.	nhân viên khuân vác	A bellhop will take your bags upstairs.	Nhân viên khuân vác sẽ xách túi lên lầu.	reservation
porter	n.	người khuân vác	The porter can store luggage until evening.	Người khuân vác có thể giữ hành lý đến tối.	reservation
valet	n.	nhân viên giữ xe	Valet parking is available at the side door.	Giữ xe có ở cửa bên.	reservation
concierge	n.	nhân viên hỗ trợ	skip	skip	reservation
itinerary	n.	lịch trình	skip	skip	itinerary
boarding	n.	lên máy bay	skip	skip	itinerary
carry-on	n.	hành lý xách tay	One carry-on bag is allowed in the cabin.	Được mang một túi xách tay lên cabin.	itinerary
checked	adj.	ký gửi	Checked bags may be collected at carousel 4.	Hành lý ký gửi lấy ở băng 4.	itinerary
overweight	adj.	quá cân	An overweight bag will incur an extra fee.	Túi quá cân sẽ bị phụ phí.	itinerary
oversized	adj.	quá khổ	Oversized items must go to the oversize counter.	Đồ quá khổ phải ra quầy hàng cồng kềnh.	itinerary
turbulence	n.	nhiễu động	The captain warned of light turbulence.	Cơ trưởng cảnh báo nhiễu động nhẹ.	itinerary
jet	n.	máy bay phản lực	The jet to Taipei leaves at dusk.	Máy bay phản lực đi Đài Bắc rời lúc chạng vạng.	itinerary
runway	n.	đường băng	Fog closed the runway for an hour.	Sương mù đóng đường băng một giờ.	itinerary
taxiway	n.	đường lăn	The plane waited on the taxiway.	Máy bay chờ trên đường lăn.	itinerary
hangar	n.	nhà chứa máy bay	Maintenance is done in the hangar.	Bảo trì được làm trong nhà chứa máy bay.	itinerary
cockpit	n.	buồng lái	Only crew may enter the cockpit.	Chỉ phi hành đoàn được vào buồng lái.	itinerary
cabin	n.	cabin	The cabin lights dim after takeoff.	Đèn cabin mờ sau khi cất cánh.	itinerary
takeoff	n.	cất cánh	Please remain seated during takeoff.	Vui lòng ngồi yên khi cất cánh.	itinerary
landing	n.	hạ cánh	Landing is expected at 4:10 p.m.	Hạ cánh dự kiến lúc 4:10 chiều.	itinerary
altitude	n.	độ cao	The aircraft reached cruising altitude.	Máy bay đạt độ cao hành trình.	itinerary
turbine	n.	tuabin	Engineers inspected the turbine overnight.	Kỹ sư kiểm tra tuabin qua đêm.	inventory
fuel	n.	nhiên liệu	Fuel prices raised the airfares.	Giá nhiên liệu làm tăng vé máy bay.	itinerary
airfare	n.	giá vé máy bay	The cheapest airfare includes one bag.	Giá vé rẻ nhất gồm một kiện hành lý.	itinerary
standby	n.	chờ vé	Standby seats may open at the gate.	Ghế chờ vé có thể mở ở cổng.	itinerary
upgrade	n.	nâng hạng	An upgrade to business class was offered.	Có đề nghị nâng hạng thương gia.	itinerary
downgrade	n.	hạ hạng	A downgrade comes with a partial refund.	Hạ hạng kèm hoàn một phần tiền.	itinerary
rebook	v.	đặt lại	The agent will rebook you on the next flight.	Nhân viên sẽ đặt lại chuyến sau cho bạn.	itinerary
reroute	v.	đổi tuyến	Storms forced the airline to reroute planes.	Bão buộc hãng đổi tuyến máy bay.	itinerary
stopover	n.	điểm dừng	There is a one-night stopover in Doha.	Có một đêm dừng ở Doha.	itinerary
direct	adj.	bay thẳng	A direct flight is shorter than a connecting one.	Chuyến bay thẳng ngắn hơn chuyến nối.	itinerary
nonstop	adj.	không dừng	The nonstop service to Busan starts in July.	Chuyến không dừng tới Busan bắt đầu tháng Bảy.	itinerary
charter	n.	chuyến thuê bao	The company booked a charter for the team.	Công ty thuê chuyến charter cho đoàn.	itinerary
commuter	n.	người đi làm	Commuters fill the 7:15 train every weekday.	Người đi làm đông trên tàu 7:15 ngày thường.	itinerary
express	n.	tàu/xe tốc hành	The airport express runs every 20 minutes.	Tàu tốc hành sân bay chạy mỗi 20 phút.	itinerary
local	n.	tàu dừng nhiều ga	Take the local train if you need Station 8.	Đi tàu dừng nhiều ga nếu bạn cần ga 8.	itinerary
platform	n.	sân ga	Wait on platform 3 for the northbound train.	Chờ ở sân ga 3 cho tàu hướng bắc.	itinerary
timetable	n.	bảng giờ	A new timetable takes effect on Monday.	Bảng giờ mới có hiệu lực thứ Hai.	deadline
punctuality	n.	sự đúng giờ	Punctuality is part of the driver's review.	Sự đúng giờ nằm trong đánh giá tài xế.	deadline
delay	n.	chậm	skip	skip	itinerary
cancellation	n.	hủy	skip	skip	authorize
detour	n.	đường vòng	Follow the detour around the closed bridge.	Đi đường vòng tránh cầu đóng.	itinerary
congestion	n.	tình trạng ùn tắc	Morning congestion is worse near the port.	Ùn tắc sáng nặng hơn gần cảng.	shipment
toll	n.	phí cầu đường	The toll is paid at the booth by card.	Phí cầu đường trả bằng thẻ ở quầy.	itinerary
fare	n.	giá vé	skip	skip	itinerary
transfer	n.	chuyến chuyển	A free transfer is included with this ticket.	Vé này gồm một chuyến chuyển miễn phí.	itinerary
zone	n.	vùng	This ticket is valid in zone 1 and 2.	Vé này có hiệu lực ở vùng 1 và 2.	itinerary
pass	n.	vé thông hành	A weekly pass is cheaper for commuters.	Vé tuần rẻ hơn cho người đi làm.	itinerary
token	n.	jeton	The old subway still uses a metal token.	Tàu điện cũ vẫn dùng jeton kim loại.	itinerary
kiosk	n.	ki-ốt	Buy a city map at the tourist kiosk.	Mua bản đồ ở ki-ốt du lịch.	brochure
guidebook	n.	sách hướng dẫn	The guidebook lists quiet cafés nearby.	Sách hướng dẫn liệt kê quán cà phê yên gần đó.	itinerary
landmark	n.	địa danh	The clock tower is a local landmark.	Tháp đồng hồ là địa danh địa phương.	itinerary
itinerary	n.	lịch trình	skip	skip	itinerary
attraction	n.	điểm tham quan	The museum is the city's top attraction.	Bảo tàng là điểm tham quan hàng đầu.	itinerary
admission	n.	phí vào cửa	Admission is free on the first Sunday.	Vào cửa miễn phí Chủ nhật đầu tháng.	brochure
souvenir	n.	quà lưu niệm	skip	skip	itinerary
postcard	n.	bưu thiếp	Postcards are sold at the gift counter.	Bưu thiếp bán ở quầy quà.	brochure
currency	n.	tiền tệ	skip	skip	budget
exchange	n.	đổi tiền	skip	skip	budget
rate	n.	tỷ giá / mức	The room rate includes tax.	Giá phòng đã gồm thuế.	reservation
tip	n.	tiền tip	A 10 percent tip is customary here.	Tiền tip 10 phần trăm là thông lệ ở đây.	complimentary
service	n.	dịch vụ	skip	skip	reservation
gratuity	n.	tiền thưởng phục vụ	skip	skip	complimentary
tab	n.	hóa đơn quán	Please put the coffee on my tab.	Làm ơn ghi cà phê vào hóa đơn của tôi.	complimentary
split	v.	chia (hóa đơn)	We can split the bill into three parts.	Chúng ta có thể chia hóa đơn làm ba.	complimentary
reservation	n.	đặt chỗ	skip	skip	reservation
waitlist	n.	danh sách chờ	Your name is on the waitlist for 7 p.m.	Tên bạn ở danh sách chờ lúc 7 giờ tối.	reservation
no-show	n.	khách đặt rồi không đến	A no-show still counts against occupancy.	Khách không đến vẫn tính vào công suất.	occupancy
overbook	v.	đặt quá số chỗ	Airlines sometimes overbook popular flights.	Hãng đôi khi đặt quá chỗ chuyến đông.	itinerary
walk-in	n.	khách vãng lai	Walk-in guests may wait for a canceled table.	Khách vãng lai có thể chờ bàn bị hủy.	reservation
hostess	n.	người dẫn chỗ	The hostess will seat you in a moment.	Người dẫn chỗ sẽ mời bạn ngồi ngay.	complimentary
waiter	n.	bồi bàn nam	Ask the waiter for the wine list.	Hỏi bồi bàn danh sách rượu.	complimentary
waitress	n.	bồi bàn nữ	The waitress brought extra napkins.	Bồi bàn mang thêm khăn giấy.	complimentary
server	n.	người phục vụ	Your server will take the order shortly.	Người phục vụ sẽ nhận order chẳng bao lâu.	complimentary
chef	n.	bếp trưởng	The chef changes the menu each season.	Bếp trưởng đổi thực đơn mỗi mùa.	complimentary
cuisine	n.	ẩm thực	The hotel is known for regional cuisine.	Khách sạn nổi tiếng ẩm thực vùng.	complimentary
specialty	n.	món đặc trưng	Grilled fish is the house specialty.	Cá nướng là món đặc trưng của quán.	complimentary
appetizer	n.	khai vị	skip	skip	complimentary
entree	n.	món chính	The entree comes with soup or salad.	Món chính kèm súp hoặc salad.	complimentary
dessert	n.	tráng miệng	skip	skip	complimentary
beverage	n.	đồ uống	skip	skip	complimentary
refill	n.	đổ thêm	Coffee refills are free during breakfast.	Đổ thêm cà phê miễn phí lúc ăn sáng.	complimentary
buffet	n.	buffet	skip	skip	reservation
a-la-carte	adj.	gọi món	A-la-carte dining starts at 6 p.m.	Gọi món bắt đầu lúc 6 giờ tối.	complimentary
vegetarian	adj.	chay	Vegetarian meals can be requested in advance.	Suất chay có thể yêu cầu trước.	complimentary
allergy	n.	dị ứng	Please tell the kitchen about any food allergy.	Hãy báo bếp nếu bị dị ứng thức ăn.	complimentary
ingredient	n.	nguyên liệu	The soup's ingredients are listed on the board.	Nguyên liệu súp được ghi trên bảng.	inventory
recipe	n.	công thức	The chef will not share the secret recipe.	Bếp trưởng không chia sẻ công thức bí mật.	complimentary
portion	n.	khẩu phần	Lunch portions are smaller than dinner ones.	Khẩu phần trưa nhỏ hơn bữa tối.	complimentary
platter	n.	đĩa lớn	A fruit platter is on the conference table.	Đĩa trái cây ở bàn hội nghị.	conference
cater	v.	cung cấp đồ ăn	A local shop will cater the afternoon break.	Một tiệm địa phương sẽ cung cấp đồ ăn giờ giải lao.	conference
banquet	n.	tiệc	skip	skip	reservation
reception	n.	tiệc chiêu đãi / lễ tân	A welcome reception begins at 6:30.	Tiệc chào mừng bắt đầu lúc 6:30.	conference
cocktail	n.	tiệc cocktail	The cocktail hour is in the courtyard.	Giờ cocktail ở sân trong.	conference
toast	n.	lời nâng ly	The director gave a short toast.	Giám đốc nói một lời nâng ly ngắn.	conference
keynote	n.	bài phát biểu chính	The keynote will be translated live.	Bài phát biểu chính sẽ được dịch trực tiếp.	conference
panel	n.	tọa đàm	The panel includes three hotel managers.	Tọa đàm có ba quản lý khách sạn.	conference
moderator	n.	người điều phối	A moderator will keep the debate on time.	Người điều phối giữ cuộc tranh luận đúng giờ.	conference
keynote	n.	bài chính	skip	skip	conference
attendee	n.	người tham dự	Each attendee receives a printed agenda.	Mỗi người tham dự nhận chương trình in.	conference
delegate	n.	đại biểu	Overseas delegates stay at the riverside hotel.	Đại biểu nước ngoài ở khách sạn ven sông.	conference
organizer	n.	ban tổ chức	The organizer posted a map of the halls.	Ban tổ chức dán bản đồ các hội trường.	conference
sponsor	n.	nhà tài trợ	A sponsor provided the lanyards.	Nhà tài trợ cung cấp dây đeo thẻ.	brochure
exhibitor	n.	đơn vị trưng bày	Exhibitors may set up after 7 a.m.	Đơn vị trưng bày được bày sau 7 giờ sáng.	conference
booth	n.	gian hàng	skip	skip	conference
handout	n.	tài liệu phát	Please take one handout per person.	Vui lòng lấy một tài liệu mỗi người.	conference
proceedings	n.	kỷ yếu	The proceedings will be emailed next week.	Kỷ yếu sẽ được gửi email tuần tới.	conference
networking	n.	giao lưu nghề nghiệp	Networking is scheduled after the last talk.	Giao lưu nghề nghiệp sau bài nói cuối.	conference
breakout	n.	phiên nhóm nhỏ	Join a breakout on hotel marketing.	Tham gia phiên nhóm nhỏ về marketing khách sạn.	conference
plenary	n.	phiên toàn thể	The plenary meets in Hall A.	Phiên toàn thể họp ở hội trường A.	conference
adjournment	n.	việc tạm nghỉ	Adjournment is expected at 5 p.m.	Tạm nghỉ dự kiến lúc 5 giờ chiều.	deadline
quorum	n.	số đại biểu tối thiểu	We cannot vote without a quorum.	Không thể bỏ phiếu khi chưa đủ số đại biểu.	conference
motion	n.	kiến nghị	Someone seconded the motion to extend hours.	Có người tán thành kiến nghị kéo dài giờ.	conference
ballot	n.	phiếu bầu	Place your ballot in the sealed box.	Bỏ phiếu vào hộp niêm phong.	conference
unanimous	adj.	đồng thuận	The board reached a unanimous decision.	Hội đồng đi đến quyết định đồng thuận.	conference
majority	n.	đa số	A majority voted for the new logo.	Đa số bỏ phiếu cho logo mới.	brochure
minutes	n.	biên bản	skip	skip	conference
agenda	n.	chương trình	skip	skip	conference
chairperson	n.	chủ tọa	The chairperson opened the annual meeting.	Chủ tọa khai mạc cuộc họp thường niên.	conference
vice	n.	phó	The vice president will chair if she is away.	Phó chủ tịch sẽ chủ trì nếu cô ấy vắng.	headquarters
treasurer	n.	thủ quỹ	The treasurer presented the yearly figures.	Thủ quỹ trình bày số liệu năm.	budget
secretary	n.	thư ký	skip	skip	headquarters
bylaw	n.	nội quy	A bylaw change needs a two-thirds vote.	Sửa nội quy cần hai phần ba phiếu.	authorize
charter	n.	điều lệ	The club charter lists membership rules.	Điều lệ câu lạc bộ ghi quy tắc thành viên.	authorize
membership	n.	tư cách thành viên	Membership includes use of the lounge.	Tư cách thành viên gồm dùng phòng lounge.	brochure
dues	n.	phí hội viên	Annual dues are collected in January.	Phí hội viên thu vào tháng Giêng.	budget
newsletter	n.	bản tin	The newsletter is mailed on the first Monday.	Bản tin được gửi thứ Hai đầu tháng.	memo
press	n.	báo chí	The press will wait in the briefing room.	Báo chí chờ ở phòng họp báo.	conference
journalist	n.	nhà báo	A journalist asked about the merger.	Một nhà báo hỏi về vụ sáp nhập.	brochure
headline	n.	tít báo	The headline mentioned the new factory.	Tít báo nhắc nhà máy mới.	brochure
article	n.	bài báo	Please clip the article for the files.	Vui lòng cắt bài báo lưu hồ sơ.	memo
editorial	n.	xã luận	The editorial praised the safety record.	Xã luận khen thành tích an toàn.	brochure
interview	n.	phỏng vấn	skip	skip	applicant
quote	n.	lời trích / báo giá	May I quote you in tomorrow's paper?	Tôi có thể trích lời bạn trên báo mai không?	brochure
embargo	n.	lệnh cấm đưa tin	The report is under embargo until noon.	Báo cáo bị cấm đưa tin đến trưa.	memo
release	n.	thông cáo	A press release will go out at 9 a.m.	Thông cáo báo chí sẽ ra lúc 9 giờ sáng.	brochure
publicity	n.	truyền thông	skip	skip	brochure
campaign	n.	chiến dịch	skip	skip	brochure
target	n.	đối tượng / mục tiêu	Young travelers are the campaign's target.	Khách trẻ là đối tượng của chiến dịch.	brochure
segment	n.	phân khúc	We added a segment for family travelers.	Chúng tôi thêm phân khúc khách gia đình.	brochure
niche	n.	thị phần ngách	The shop found a niche in handmade soaps.	Cửa hàng tìm được ngách xà phòng handmade.	brochure
branding	n.	xây dựng thương hiệu	Branding on the vans must match the logo.	Thương hiệu trên xe phải khớp logo.	brochure
rebrand	v.	đổi nhận diện	The chain will rebrand next spring.	Chuỗi sẽ đổi nhận diện vào mùa xuân tới.	brochure
tagline	n.	câu khẩu hiệu phụ	The tagline appears under every logo.	Câu khẩu hiệu phụ nằm dưới mọi logo.	brochure
mascot	n.	linh vật	A cat mascot greets children in the lobby.	Linh vật mèo chào trẻ ở sảnh.	brochure
endorsement	n.	sự chứng thực	The chef's endorsement lifted soup sales.	Sự chứng thực của bếp trưởng làm tăng bán súp.	brochure
testimonial	n.	lời chứng thực	A guest testimonial is printed on the flyer.	Lời chứng thực của khách được in trên tờ rơi.	brochure
influencer	n.	người có ảnh hưởng	An influencer filmed the new suite.	Người có ảnh hưởng quay phòng suite mới.	brochure
hashtag	n.	hashtag	Use the event hashtag on every post.	Dùng hashtag sự kiện trên mọi bài đăng.	brochure
website	n.	trang web	The website lists live room availability.	Trang web liệt kê phòng còn trống.	reservation
homepage	n.	trang chủ	A booking button sits on the homepage.	Nút đặt phòng nằm ở trang chủ.	brochure
browser	n.	trình duyệt	The form works in every major browser.	Mẫu đơn chạy trên mọi trình duyệt lớn.	memo
click	v.	nhấp	Click the blue button to confirm.	Nhấp nút xanh để xác nhận.	memo
link	n.	liên kết	The reset link expires in 20 minutes.	Liên kết đặt lại hết hạn sau 20 phút.	memo
login	n.	đăng nhập	A new login is required after the upgrade.	Cần đăng nhập mới sau khi nâng cấp.	authorize
logout	v.	đăng xuất	Please logout when you leave the desk.	Vui lòng đăng xuất khi rời bàn.	authorize
username	n.	tên đăng nhập	Your username is the company email.	Tên đăng nhập là email công ty.	authorize
profile	n.	hồ sơ tài khoản	Update your profile photo this week.	Cập nhật ảnh hồ sơ tuần này.	memo
settings	n.	cài đặt	Language settings are under the gear icon.	Cài đặt ngôn ngữ ở biểu tượng bánh răng.	memo
notification	n.	thông báo	Turn off sound for night notifications.	Tắt tiếng thông báo ban đêm.	memo
spam	n.	thư rác	Move spam to the junk folder.	Chuyển thư rác vào thư mục junk.	memo
inbox	n.	hộp thư đến	Check the inbox before the meeting.	Xem hộp thư đến trước cuộc họp.	memo
outbox	n.	hộp thư đi	A stuck message is sitting in the outbox.	Một thư bị kẹt trong hộp thư đi.	memo
attachment	n.	tệp đính kèm	The attachment is too large to send.	Tệp đính kèm quá lớn để gửi.	memo
